Index,Name,TwoHand,Level,ItemSlot,SkillIndex,Width,Height,DamageMin,DamageMax,SuccessfulBlocking,Defense,MagicDefense,WeaponSpeed,WalkSpeed,Durability,MagicDur,MagicPower,RequireStrength,RequireDexterity,RequireEnergy,RequireVitality,RequireCharisma,RequireLevel,Value,Zen,AttType,RequireClass0,RequireClass1,RequireClass2,RequireClass3,RequireClass4,RequireClass5,RequireClass6,Resistance0,Resistance1,Resistance2,Resistance3,Resistance4,Resistance5,Resistance6,Resistance7
3084,"Bronze Shield",0,54,1,18,2,2,0,0,54,13,0,0,0,52,0,0,140,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3085,"Dragon Shield",0,60,1,18,2,2,0,0,60,14,0,0,0,60,0,0,120,40,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3086,"Legendary Shield",0,48,1,0,2,3,0,0,48,7,0,0,0,50,0,0,90,25,0,0,0,0,0,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3087,"Grand Soul Shield",0,74,1,0,2,3,0,0,55,12,0,0,0,55,0,0,70,23,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3088,"Elemental Shield",0,66,1,0,2,2,0,0,28,11,0,0,0,51,0,0,30,60,30,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3089,"Crimson Glory",0,104,1,18,2,2,0,0,90,19,0,0,0,51,0,0,95,48,0,0,0,380,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3090,"Salamander Shield",0,102,1,18,2,2,0,0,96,20,0,0,0,51,0,0,80,61,0,0,0,380,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3091,"Frost Barrier",0,99,1,0,2,2,0,0,58,14,0,0,0,51,0,0,26,53,26,0,0,380,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3092,"Guardian Shield",0,106,1,18,2,2,0,0,30,12,0,0,0,51,0,0,54,18,0,0,0,380,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3093,"Cross Shield",0,70,1,18,2,2,0,0,75,16,0,0,0,65,0,0,140,55,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3099,"Legendary Shield-J",0,48,1,0,2,3,0,0,48,9,0,0,0,50,0,0,90,25,0,0,0,0,0,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3100,"Serpent Shield-J",0,45,1,18,2,2,0,0,45,14,0,0,0,48,0,0,130,0,0,0,0,0,0,0,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3584,"Bronze Helm",0,16,2,0,2,2,0,0,0,9,0,0,0,34,0,0,80,20,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3585,"Dragon Helm",0,57,2,0,2,2,0,0,0,24,0,0,0,68,0,0,120,30,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3586,"Pad Helm",0,5,2,0,2,2,0,0,0,4,0,0,0,28,0,0,20,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3587,"Legendary Helm",0,50,2,0,2,2,0,0,0,18,0,0,0,42,0,0,30,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3588,"Bone Helm",0,18,2,0,2,2,0,0,0,9,0,0,0,30,0,0,30,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3589,"Leather Helm",0,6,2,0,2,2,0,0,0,5,0,0,0,30,0,0,80,0,0,0,0,0,0,0,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
3590,"Scale Helm",0,26,2,0,2,2,0,0,0,12,0,0,0,40,0,0,110,0,0,0,0,0,0,0,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
3591,"Sphinx Mask",0,32,2,0,2,2,0,0,0,13,0,0,0,36,0,0,30,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3592,"Brass Helm",0,36,2,0,2,2,0,0,0,17,0,0,0,44,0,0,100,30,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3593,"Plate Helm",0,46,2,0,2,2,0,0,0,20,0,0,0,50,0,0,130,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3594,"Vine Helm",0,6,2,0,2,2,0,0,0,4,0,0,0,22,0,0,30,60,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3595,"Silk Helm",0,16,2,0,2,2,0,0,0,8,0,0,0,26,0,0,30,70,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3596,"Wind Helm",0,28,2,0,2,2,0,0,0,12,0,0,0,32,0,0,30,80,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3597,"Spirit Helm",0,40,2,0,2,2,0,0,0,16,0,0,0,38,0,0,40,80,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3598,"Guardian Helm",0,53,2,0,2,2,0,0,0,23,0,0,0,45,0,0,40,80,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3600,"Black Dragon Helm",0,82,2,0,2,2,0,0,0,30,0,0,0,74,0,0,170,60,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3601,"Dark Phoenix Helm",0,92,2,0,2,2,0,0,0,43,0,0,0,80,0,0,205,62,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3602,"Grand Soul Helm",0,81,2,0,2,2,0,0,0,27,0,0,0,67,0,0,59,20,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3603,"Divine Helm",0,85,2,0,2,2,0,0,0,37,0,0,0,74,0,0,50,110,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3605,"Great Dragon Helm",0,104,2,0,2,2,0,0,0,53,0,0,0,86,0,0,200,58,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3606,"Dark Soul Helm",0,110,2,0,2,2,0,0,0,36,0,0,0,75,0,0,55,18,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3608,"Red Spirit Helm",0,93,2,0,2,2,0,0,0,46,0,0,0,80,0,0,52,115,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3609,"Light Plate Mask",0,46,2,0,2,2,0,0,0,20,0,0,0,42,0,0,70,20,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3610,"Adamantine Mask",0,66,2,0,2,2,0,0,0,24,0,0,0,56,0,0,77,21,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3611,"Dark Steel Mask",0,86,2,0,2,2,0,0,0,26,0,0,0,70,0,0,84,22,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3612,"Dark Master Mask",0,106,2,0,2,2,0,0,0,34,0,0,0,78,0,0,80,21,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3613,"Dragon Knight Helm",0,130,2,0,2,2,0,0,0,66,0,0,0,90,0,0,170,60,0,0,0,380,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3614,"Venom Mist Helm",0,126,2,0,2,2,0,0,0,48,0,0,0,86,0,0,44,15,0,0,0,380,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3615,"Sylphid Ray Helm",0,126,2,0,2,2,0,0,0,57,0,0,0,86,0,0,38,80,0,0,0,380,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3617,"Sunlight Mask",0,130,2,0,2,2,0,0,0,46,0,0,0,82,0,0,62,16,0,0,0,380,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3618,"Ashcrow Helm",0,67,2,0,2,2,0,0,0,27,0,0,0,72,0,0,160,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3619,"Eclipse Helm",0,67,2,0,2,2,0,0,0,22,0,0,0,54,0,0,53,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620,"Iris Helm",0,67,2,0,2,2,0,0,0,30,0,0,0,59,0,0,50,70,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3622,"Glorious Mask",0,97,2,0,2,2,0,0,0,30,0,0,0,74,0,0,80,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3623,"Violent Wind Helm",0,28,2,0,2,2,0,0,0,13,0,0,0,36,0,0,31,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3624,"Red Wing Helm",0,50,2,0,2,2,0,0,0,18,0,0,0,42,0,0,26,4,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3625,"Ancient Helm",0,68,2,0,2,2,0,0,0,24,0,0,0,54,0,0,52,16,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3626,"Demonic Helm",0,81,2,0,2,2,0,0,0,32,0,0,0,67,0,0,60,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
3627,"Storm Blitz Helm",0,110,2,0,2,2,0,0,0,43,0,0,0,75,0,0,56,20,0,0,0,380,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
3628,"Eternal Wing Helm",0,116,2,0,2,2,0,0,0,35,0,0,0,86,0,0,62,20,170,0,0,380,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
3629,"Titan  Helm",0,111,2,0,2,2,0,0,0,63,0,0,0,86,0,0,222,32,0,0,0,380,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3630,"Brave Helm",0,107,2,0,2,2,0,0,0,51,0,0,0,86,0,0,74,162,0,0,0,380,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3633,"Seraphim Helm",0,111,2,0,2,2,0,0,0,50,0,0,0,86,0,0,55,197,0,0,0,380,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3634,"Divine Helm",0,104,2,0,2,2,0,0,0,44,0,0,0,86,0,0,32,29,138,0,0,380,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3635,"Royal Mask",0,111,2,0,2,2,0,0,0,44,0,0,0,86,0,0,105,38,0,0,0,380,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3636,"Hades Helm",0,109,2,0,2,2,0,0,0,41,0,0,0,86,0,0,60,15,181,0,0,380,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3643,"Sacred Fire Helm",0,54,2,0,2,2,0,0,0,24,0,0,0,52,0,0,85,0,0,75,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3644,"Storm Jahad Helm",0,70,2,0,2,2,0,0,0,32,0,0,0,68,0,0,100,0,0,90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3645,"Piercing Groove Helm",0,90,2,0,2,2,0,0,0,45,0,0,0,82,0,0,115,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3646,"Scale Helm",0,26,2,0,2,2,0,0,0,16,0,0,0,255,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
3647,"Silk Helm",0,16,2,0,2,2,0,0,0,11,0,0,0,255,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3648,"Sphinx Helm",0,32,2,0,2,2,0,0,0,17,0,0,0,255,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3649,"Violent Wind Helm",0,28,2,0,2,2,0,0,0,17,0,0,0,255,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3650,"Dark Soul Helm",0,66,2,0,2,2,0,0,0,29,0,0,0,255,0,0,0,0,0,0,0,150,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3651,"Dragon Helm",0,57,2,0,2,2,0,0,0,29,0,0,0,255,0,0,0,0,0,0,0,150,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3652,"Guardian Helm",0,53,2,0,2,2,0,0,0,28,0,0,0,255,0,0,0,0,0,0,0,150,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3653,"Legendary Helm",0,50,2,0,2,2,0,0,0,23,0,0,0,255,0,0,0,0,0,0,0,150,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3654,"Red Wing Helm",0,50,2,0,2,2,0,0,0,20,0,0,0,255,0,0,0,0,0,0,0,150,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3656,"Storm Jahad Helm",0,70,2,0,2,2,0,0,0,32,0,0,0,255,0,0,0,0,0,0,0,150,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3657,"Phoenix Soul Helmet",0,128,2,0,2,2,0,0,0,60,0,0,0,88,0,0,97,0,0,85,0,380,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3662,"Dragon Helm-J",0,57,2,0,2,2,0,0,0,26,0,0,0,68,0,0,120,30,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3663,"Legendary Helm-J",0,50,2,0,2,2,0,0,0,20,0,0,0,42,0,0,30,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3664,"Guardian Helm-J",0,53,2,0,2,2,0,0,0,25,0,0,0,45,0,0,40,80,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3665,"Light Plate Mask-J",0,46,2,0,2,2,0,0,0,22,0,0,0,42,0,0,70,20,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3666,"Red Wing Helm-J",0,50,2,0,2,2,0,0,0,20,0,0,0,42,0,0,26,4,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3667,"Sacred Fire Helm-J",0,54,2,0,2,2,0,0,0,26,0,0,0,52,0,0,85,0,0,75,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4096,"Bronze Armor",0,18,3,0,2,2,0,0,0,14,0,0,0,34,0,0,80,20,0,0,0,0,0,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
4097,"Dragon Armor",0,59,3,0,2,3,0,0,0,37,0,0,0,68,0,0,120,30,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4098,"Pad Armor",0,10,3,0,2,2,0,0,0,7,0,0,0,28,0,0,30,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4099,"Legendary Armor",0,56,3,0,2,2,0,0,0,22,0,0,0,42,0,0,40,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4100,"Bone Armor",0,22,3,0,2,2,0,0,0,13,0,0,0,30,0,0,40,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4101,"Leather Armor",0,10,3,0,2,3,0,0,0,10,0,0,0,30,0,0,80,0,0,0,0,0,0,0,4,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
4102,"Scale Armor",0,28,3,0,2,2,0,0,0,18,0,0,0,40,0,0,110,0,0,0,0,0,0,0,4,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
4103,"Sphinx Armor",0,38,3,0,2,3,0,0,0,17,0,0,0,36,0,0,40,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4104,"Brass Armor",0,38,3,0,2,2,0,0,0,22,0,0,0,44,0,0,100,30,0,0,0,0,0,0,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
4105,"Plate Armor",0,48,3,0,2,2,0,0,0,30,0,0,0,50,0,0,130,0,0,0,0,0,0,0,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
4106,"Vine Armor",0,10,3,0,2,2,0,0,0,8,0,0,0,22,0,0,30,60,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4107,"Silk Armor",0,20,3,0,2,2,0,0,0,12,0,0,0,26,0,0,30,70,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4108,"Wind Armor",0,32,3,0,2,2,0,0,0,16,0,0,0,32,0,0,30,80,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4109,"Spirit Armor",0,44,3,0,2,2,0,0,0,21,0,0,0,38,0,0,40,80,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4110,"Guardian Armor",0,57,3,0,2,2,0,0,0,29,0,0,0,45,0,0,40,80,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4111,"Storm Crow Armor",0,80,3,0,2,3,0,0,0,44,0,0,0,80,0,0,150,70,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4112,"Black Dragon Armor",0,90,3,0,2,3,0,0,0,48,0,0,0,74,0,0,170,60,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4113,"Dark Phoenix Armor",0,100,3,0,2,3,0,0,0,63,0,0,0,80,0,0,214,65,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4114,"Grand Soul Armor",0,91,3,0,2,3,0,0,0,33,0,0,0,67,0,0,59,20,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4115,"Divine Armor",0,92,3,0,2,2,0,0,0,44,0,0,0,74,0,0,50,110,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4116,"Thunder Hawk Armor",0,107,3,0,2,3,0,0,0,60,0,0,0,82,0,0,170,70,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4117,"Great Dragon Armor",0,126,3,0,2,3,0,0,0,75,0,0,0,86,0,0,200,58,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4118,"Dark Soul Armor",0,122,3,0,2,3,0,0,0,43,0,0,0,75,0,0,55,18,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4119,"Hurricane Armor",0,128,3,0,2,3,0,0,0,73,0,0,0,90,0,0,162,66,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4120,"Red Sprit Armor",0,109,3,0,2,2,0,0,0,55,0,0,0,80,0,0,52,115,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4121,"Light Plate Armor",0,62,3,0,2,3,0,0,0,25,0,0,0,42,0,0,70,20,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4122,"Adamantine Armor",0,78,3,0,2,3,0,0,0,36,0,0,0,56,0,0,77,21,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4123,"Dark Steel Armor",0,96,3,0,2,3,0,0,0,43,0,0,0,70,0,0,84,22,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4124,"Dark Master Armor",0,117,3,0,2,3,0,0,0,51,0,0,0,78,0,0,80,21,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4125,"Dragon Knight Armor",0,140,3,0,2,3,0,0,0,88,0,0,0,90,0,0,170,60,0,0,0,380,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4126,"Venom Mist Armor",0,146,3,0,2,3,0,0,0,57,0,0,0,86,0,0,44,15,0,0,0,380,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4127,"Sylphid Ray Armor",0,146,3,0,2,3,0,0,0,68,0,0,0,86,0,0,38,80,0,0,0,380,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4128,"Volcano Armor",0,147,3,0,2,3,0,0,0,86,0,0,0,95,0,0,145,60,0,0,0,380,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4129,"Sunlight Armor",0,147,3,0,2,3,0,0,0,64,0,0,0,82,0,0,62,16,0,0,0,380,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4130,"Ashcrow Armor",0,75,3,0,2,3,0,0,0,42,0,0,0,72,0,0,160,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4131,"Eclipse Armor",0,75,3,0,2,3,0,0,0,27,0,0,0,54,0,0,53,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4132,"Iris Armor",0,75,3,0,2,3,0,0,0,36,0,0,0,59,0,0,50,70,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4133,"Valiant Armor",0,105,3,0,2,3,0,0,0,52,0,0,0,81,0,0,155,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4134,"Glorious Armor",0,105,3,0,2,3,0,0,0,47,0,0,0,74,0,0,80,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4135,"Violent Wind Armor",0,34,3,0,2,2,0,0,0,22,0,0,0,36,0,0,39,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4136,"Red Wing Armor",0,56,3,0,2,2,0,0,0,28,0,0,0,42,0,0,35,8,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4137,"Ancient Armor",0,75,3,0,2,2,0,0,0,35,0,0,0,54,0,0,52,16,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4138,"Demonic Armor",0,91,3,0,2,2,0,0,0,45,0,0,0,67,0,0,60,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
4139,"Storm Blitz Armor",0,122,3,0,2,2,0,0,0,56,0,0,0,75,0,0,57,19,0,0,0,380,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
4140,"Eternal Wing Armor",0,131,3,0,2,2,0,0,0,49,0,0,0,86,0,0,62,20,170,0,0,380,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
4141,"Titan  Armor",0,132,3,0,2,3,0,0,0,81,0,0,0,86,0,0,222,32,0,0,0,380,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4142,"Brave Armor",0,128,3,0,2,3,0,0,0,62,0,0,0,86,0,0,74,162,0,0,0,380,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4143,"Phantom  Armor",0,131,3,0,2,3,0,0,0,80,0,0,0,86,0,0,212,57,0,0,0,380,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4144,"Destroy Armor",0,125,3,0,2,3,0,0,0,66,0,0,0,86,0,0,62,19,165,0,0,380,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4145,"Seraphim Armor",0,129,3,0,2,2,0,0,0,60,0,0,0,86,0,0,55,197,0,0,0,380,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4146,"Divine Armor",0,122,3,0,2,2,0,0,0,52,0,0,0,86,0,0,32,29,138,0,0,380,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4147,"Royal Armor",0,132,3,0,2,3,0,0,0,58,0,0,0,86,0,0,105,38,0,0,0,380,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4148,"Hades Armor",0,129,3,0,2,3,0,0,0,50,0,0,0,86,0,0,60,15,181,0,0,380,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4155,"Sacred Fire Armor",0,66,3,0,2,3,0,0,0,43,0,0,0,52,0,0,85,0,0,75,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4156,"Storm Jahad Armor",0,82,3,0,2,3,0,0,0,51,0,0,0,68,0,0,100,0,0,90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4157,"Piercing Groove Armor",0,101,3,0,2,3,0,0,0,59,0,0,0,82,0,0,115,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4158,"Scale Armor",0,28,3,0,2,2,0,0,0,21,0,0,0,255,0,0,0,0,0,0,0,1,0,0,4,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
4159,"Silk Armor",0,20,3,0,2,2,0,0,0,14,0,0,0,255,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4160,"Sphinx Armor",0,38,3,0,2,3,0,0,0,19,0,0,0,255,0,0,0,0,0,0,0,1,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4161,"Violent Wind Armor",0,34,3,0,2,2,0,0,0,26,0,0,0,255,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4162,"Dark Soul Armor",0,78,3,0,2,3,0,0,0,39,0,0,0,255,0,0,0,0,0,0,0,150,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4163,"Dragon Armor",0,59,3,0,2,3,0,0,0,42,0,0,0,255,0,0,0,0,0,0,0,150,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4164,"Guardian Armor",0,57,3,0,2,2,0,0,0,29,0,0,0,255,0,0,0,0,0,0,0,150,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4165,"Legendary Armor",0,56,3,0,2,2,0,0,0,24,0,0,0,255,0,0,0,0,0,0,0,150,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4166,"Red Wing Armor",0,56,3,0,2,2,0,0,0,31,0,0,0,255,0,0,0,0,0,0,0,150,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4167,"Atlans Armor",0,80,3,0,2,3,0,0,0,47,0,0,0,255,0,0,0,0,0,0,0,150,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4168,"Storm Jahad Armor",0,82,3,0,2,3,0,0,0,43,0,0,0,255,0,0,0,0,0,0,0,150,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4169,"Phoenix Soul Armor",0,143,3,0,2,3,0,0,0,78,0,0,0,88,0,0,97,0,0,85,0,380,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4174,"Dragon Armor-J",0,59,3,0,2,3,0,0,0,39,0,0,0,68,0,0,120,30,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
